stock,beta1,beta2,beta3,beta4
AAPL, -0.1000000000000002, 0.8400000000000004, -0.10000000000000009, 0.4
AMZN, -0.30000000000000016, 0.6800000000000003, -0.30000000000000004, 0.6000000000000001
AVGO, -0.40000000000000013, 0.7000000000000003, -0.30000000000000004, 0.4
JPM, -0.20000000000000018, 0.7800000000000004, -0.10000000000000009, 0.5
META, -0.20000000000000018, 0.8400000000000004, -0.10000000000000009, 0.30000000000000004
MSFT, -0.1000000000000002, 0.7400000000000003, -0.4, 0.5
NVDA, -0.1000000000000002, 0.8800000000000004, -0.10000000000000009, 0.30000000000000004
TSLA, -0.30000000000000016, 0.8400000000000004, -0.10000000000000009, 0.30000000000000004
V, -0.20000000000000018, 0.8200000000000004, -1.1102230246251565e-16, 0.4
