PERMNO,date,TICKER,RET
10107,02/01/2013,MSFT,0.034081
10107,03/01/2013,MSFT,-0.013396
10107,04/01/2013,MSFT,-0.018716
10107,07/01/2013,MSFT,-0.001870
10107,08/01/2013,MSFT,-0.005245
10107,09/01/2013,MSFT,0.005650
10107,10/01/2013,MSFT,-0.008989
10107,11/01/2013,MSFT,0.013983
10107,14/01/2013,MSFT,0.002236
10107,15/01/2013,MSFT,0.011900
10107,16/01/2013,MSFT,-0.006248
10107,17/01/2013,MSFT,0.007766
10107,18/01/2013,MSFT,0.000000
10107,22/01/2013,MSFT,-0.003670
10107,23/01/2013,MSFT,0.016943
10107,24/01/2013,MSFT,0.000724
10107,25/01/2013,MSFT,0.009048
10107,28/01/2013,MSFT,0.001112
10107,29/01/2013,MSFT,0.003547
10107,30/01/2013,MSFT,-0.005712
10107,31/01/2013,MSFT,-0.014363
10107,01/02/2013,MSFT,0.017486
10107,04/02/2013,MSFT,-0.017544
10107,05/02/2013,MSFT,0.002004
10107,06/02/2013,MSFT,-0.005637
10107,07/02/2013,MSFT,-0.002085
10107,08/02/2013,MSFT,0.009786
10107,11/02/2013,MSFT,0.011252
10107,12/02/2013,MSFT,0.000718
10107,13/02/2013,MSFT,0.005380
10107,14/02/2013,MSFT,0.000357
10107,15/02/2013,MSFT,-0.001070
10107,19/02/2013,MSFT,0.009461
10107,20/02/2013,MSFT,-0.006240
10107,21/02/2013,MSFT,-0.013635
10107,22/02/2013,MSFT,0.009822
10107,25/02/2013,MSFT,-0.014049
10107,26/02/2013,MSFT,0.000000
10107,27/02/2013,MSFT,0.016076
10107,28/02/2013,MSFT,-0.000360
10107,01/03/2013,MSFT,0.005396
10107,04/03/2013,MSFT,0.007156
10107,05/03/2013,MSFT,0.007105
10107,06/03/2013,MSFT,-0.009171
10107,07/03/2013,MSFT,0.001780
10107,08/03/2013,MSFT,-0.004975
10107,11/03/2013,MSFT,-0.004643
10107,12/03/2013,MSFT,0.001435
10107,13/03/2013,MSFT,0.000179
10107,14/03/2013,MSFT,0.007881
10107,15/03/2013,MSFT,-0.003554
10107,18/03/2013,MSFT,0.002319
10107,19/03/2013,MSFT,0.002847
10107,20/03/2013,MSFT,0.004791
10107,21/03/2013,MSFT,-0.007240
10107,22/03/2013,MSFT,0.004980
10107,25/03/2013,MSFT,-0.003186
10107,26/03/2013,MSFT,-0.000178
10107,27/03/2013,MSFT,0.007636
10107,28/03/2013,MSFT,0.008283
10107,01/04/2013,MSFT,0.000175
10107,02/04/2013,MSFT,0.006641
10107,03/04/2013,MSFT,-0.008333
10107,04/04/2013,MSFT,0.001225
10107,05/04/2013,MSFT,0.003672
10107,08/04/2013,MSFT,-0.003833
10107,09/04/2013,MSFT,0.035677
10107,10/04/2013,MSFT,0.022627
10107,11/04/2013,MSFT,-0.044419
10107,12/04/2013,MSFT,-0.005011
10107,15/04/2013,MSFT,-0.003473
10107,16/04/2013,MSFT,0.009759
10107,17/04/2013,MSFT,-0.005005
10107,18/04/2013,MSFT,-0.001214
10107,19/04/2013,MSFT,0.033866
10107,22/04/2013,MSFT,0.035780
10107,23/04/2013,MSFT,-0.007460
10107,24/04/2013,MSFT,0.037908
10107,25/04/2013,MSFT,0.005668
10107,26/04/2013,MSFT,-0.004696
10107,29/04/2013,MSFT,0.025794
10107,30/04/2013,MSFT,0.015026
10107,01/05/2013,MSFT,-0.011480
10107,02/05/2013,MSFT,0.013447
10107,03/05/2013,MSFT,0.009952
10107,06/05/2013,MSFT,0.007763
10107,07/05/2013,MSFT,-0.013037
10107,08/05/2013,MSFT,-0.009607
10107,09/05/2013,MSFT,-0.010003
10107,10/05/2013,MSFT,0.000919
10107,13/05/2013,MSFT,0.010401
10107,14/05/2013,MSFT,0.022101
10107,15/05/2013,MSFT,0.009395
10107,16/05/2013,MSFT,0.006943
