year,stock,beta1,beta2,beta3,beta4
2019,AAPL,-0.30000000000000016,0.8200000000000004,-1.1102230246251565e-16,0.2
2019,ABT,-0.20000000000000018,0.8000000000000004,-0.10000000000000009,0.30000000000000004
2019,ACN,-0.6000000000000001,0.5200000000000001,-0.10000000000000009,0.5
2019,ADBE,-0.8,0.42000000000000004,-0.20000000000000007,0.8
2019,ADI,-0.30000000000000016,0.7800000000000004,-0.10000000000000009,0.30000000000000004
2019,ADP,-0.40000000000000013,0.6400000000000002,-0.10000000000000009,0.5
2019,AMAT,-0.20000000000000018,0.8800000000000004,-1.1102230246251565e-16,0.2
2019,AMD,-1.0,0.6200000000000002,-0.30000000000000004,0.4
2019,AMGN,-0.1000000000000002,0.9400000000000005,-1.1102230246251565e-16,0.1
2019,AMT,-0.30000000000000016,0.7600000000000003,-1.1102230246251565e-16,0.30000000000000004
2019,AMZN,-0.40000000000000013,0.7200000000000003,-0.10000000000000009,0.4
2019,APH,-0.7000000000000001,0.42000000000000004,-0.20000000000000007,0.7000000000000001
2019,AVGO,-0.8,0.5400000000000001,-0.30000000000000004,0.4
2019,AXP,-0.20000000000000018,0.8800000000000004,0.09999999999999987,0.2
2019,BA,-0.20000000000000018,0.8000000000000004,-0.10000000000000009,0.30000000000000004
2019,BAC,-0.20000000000000018,0.8600000000000004,-1.1102230246251565e-16,0.30000000000000004
2019,BH,-1.0,0.5000000000000001,-0.30000000000000004,0.2
2019,BLK,-0.30000000000000016,0.8000000000000004,-1.1102230246251565e-16,0.30000000000000004
2019,BSX,-0.6000000000000001,0.7400000000000003,0.09999999999999987,0.1
2019,BX,-0.1000000000000002,0.9200000000000005,-1.1102230246251565e-16,0.2
2019,C,-0.20000000000000018,0.8600000000000004,-1.1102230246251565e-16,0.30000000000000004
2019,CAT,-0.1000000000000002,0.9000000000000005,-1.1102230246251565e-16,0.2
2019,CB,-0.6000000000000001,0.4,-0.10000000000000009,0.30000000000000004
2019,CME,-0.30000000000000016,0.7600000000000003,-0.10000000000000009,0.30000000000000004
2019,CMT,-2.220446049250313e-16,0.9200000000000005,-0.20000000000000007,0.1
2019,COP,-0.1000000000000002,0.8200000000000004,-0.20000000000000007,0.4
2019,COST,-0.20000000000000018,0.8200000000000004,-1.1102230246251565e-16,0.2
2019,CRM,-0.5000000000000001,0.7800000000000004,-1.1102230246251565e-16,0.30000000000000004
2019,CSCO,-0.20000000000000018,0.8000000000000004,-0.10000000000000009,0.30000000000000004
2019,CVX,-0.1000000000000002,0.8800000000000004,-1.1102230246251565e-16,0.30000000000000004
2019,DE,-0.1000000000000002,0.8600000000000004,-0.10000000000000009,0.2
2019,DHR,-0.1000000000000002,0.9200000000000005,0.09999999999999987,0.2
2019,DIS,-0.1000000000000002,0.9000000000000005,-1.1102230246251565e-16,0.2
2019,ETN,-1.0,0.42000000000000004,-0.30000000000000004,0.4
2019,GE,-0.6000000000000001,0.4600000000000001,-0.20000000000000007,0.5
2019,GILD,-1.0,0.5600000000000002,-1.1102230246251565e-16,0.30000000000000004
2019,GS,-0.20000000000000018,0.8200000000000004,-0.10000000000000009,0.30000000000000004
2019,HD,-0.7000000000000001,0.4600000000000001,-0.10000000000000009,0.6000000000000001
2019,HON,-0.30000000000000016,0.7400000000000003,-1.1102230246251565e-16,0.30000000000000004
2019,IBM,-0.1000000000000002,0.9200000000000005,-1.1102230246251565e-16,0.1
2019,ICE,-0.5000000000000001,0.6200000000000002,-0.30000000000000004,0.30000000000000004
2019,INTU,-0.7000000000000001,0.4600000000000001,-0.30000000000000004,0.30000000000000004
2019,ISRG,-0.40000000000000013,0.7200000000000003,-0.30000000000000004,0.1
2019,JNJ,-0.5000000000000001,0.4,-0.30000000000000004,0.7000000000000001
2019,JPM,-0.20000000000000018,0.8400000000000004,-1.1102230246251565e-16,0.30000000000000004
2019,KO,-0.40000000000000013,0.6400000000000002,-0.10000000000000009,0.2
2019,LLY,-0.1000000000000002,0.8400000000000004,-0.20000000000000007,0.2
2019,LMT,-0.9,0.42000000000000004,0.09999999999999987,0.2
2019,LOW,-0.9,0.4,-0.10000000000000009,0.5
2019,MA,-0.1000000000000002,0.8600000000000004,-0.10000000000000009,0.30000000000000004
2019,MCD,-0.5000000000000001,0.4600000000000001,-0.20000000000000007,0.6000000000000001
2019,MDT,-0.7000000000000001,0.4600000000000001,-0.10000000000000009,0.5
2019,MMC,-0.20000000000000018,0.7600000000000003,-1.1102230246251565e-16,0.5
2019,MO,-0.6000000000000001,0.4800000000000001,-0.10000000000000009,0.4
2019,MRK,-0.30000000000000016,0.6800000000000003,-0.20000000000000007,0.4
2019,MS,-0.20000000000000018,0.8000000000000004,-0.10000000000000009,0.4
2019,MSFT,-0.40000000000000013,0.6600000000000003,-0.20000000000000007,0.30000000000000004
2019,NEE,-0.5000000000000001,0.5600000000000002,-0.20000000000000007,0.30000000000000004
2019,NFLX,-0.20000000000000018,0.9000000000000005,-1.1102230246251565e-16,0.2
2019,NOW,-0.9,0.5200000000000001,-0.4,0.6000000000000001
2019,NVDA,-0.9,0.5400000000000001,-0.10000000000000009,0.30000000000000004
2019,ORCL,-1.0,0.4,-0.10000000000000009,0.2
2019,PANW,-1.0,0.6000000000000002,-0.20000000000000007,0.30000000000000004
2019,PEP,-0.30000000000000016,0.6200000000000002,-0.10000000000000009,0.5
2019,PFE,-0.6000000000000001,0.4600000000000001,-0.20000000000000007,0.6000000000000001
2019,PG,-0.30000000000000016,0.5800000000000002,-0.30000000000000004,0.5
